datetime,symbol,open,high,low,close,volume
2024-06-01 02:00:00,CRYPTO:DOTUSD,6.982,7.126,6.953,7.055,0.0
2024-06-02 02:00:00,CRYPTO:DOTUSD,7.055,7.119,6.913,6.984,0.0
2024-06-03 02:00:00,CRYPTO:DOTUSD,6.984,7.183,6.931,7.006,0.0
2024-06-04 02:00:00,CRYPTO:DOTUSD,7.006,7.232,6.943,7.178,0.0
2024-06-05 02:00:00,CRYPTO:DOTUSD,7.178,7.295,7.151,7.251,0.0
2024-06-06 02:00:00,CRYPTO:DOTUSD,7.251,7.286,7.06,7.145,0.0
2024-06-07 02:00:00,CRYPTO:DOTUSD,7.145,7.287,6.091,6.657,0.0
2024-06-08 02:00:00,CRYPTO:DOTUSD,6.657,6.678,6.337,6.383,0.0
2024-06-09 02:00:00,CRYPTO:DOTUSD,6.383,6.537,6.376,6.526,0.0
2024-06-10 02:00:00,CRYPTO:DOTUSD,6.526,6.58,6.359,6.505,0.0
2024-06-11 02:00:00,CRYPTO:DOTUSD,6.505,6.522,6.221,6.375,0.0
2024-06-12 02:00:00,CRYPTO:DOTUSD,6.375,6.925,6.278,6.736,0.0
2024-06-13 02:00:00,CRYPTO:DOTUSD,6.736,6.739,6.337,6.357,0.0
2024-06-14 02:00:00,CRYPTO:DOTUSD,6.357,6.484,6.002,6.161,0.0
2024-06-15 02:00:00,CRYPTO:DOTUSD,6.161,6.252,6.107,6.22,0.0
2024-06-16 02:00:00,CRYPTO:DOTUSD,6.22,6.421,6.148,6.392,0.0
2024-06-17 02:00:00,CRYPTO:DOTUSD,6.392,6.412,5.989,6.067,0.0
2024-06-18 02:00:00,CRYPTO:DOTUSD,6.067,6.086,5.481,5.77,0.0
2024-06-19 02:00:00,CRYPTO:DOTUSD,5.77,5.989,5.729,5.795,0.0
2024-06-20 02:00:00,CRYPTO:DOTUSD,5.795,5.969,5.6,5.64,0.0
2024-06-21 02:00:00,CRYPTO:DOTUSD,5.64,5.732,5.548,5.607,0.0
2024-06-22 02:00:00,CRYPTO:DOTUSD,5.607,5.801,5.541,5.749,0.0
2024-06-23 02:00:00,CRYPTO:DOTUSD,5.748,5.814,5.594,5.649,0.0
2024-06-24 02:00:00,CRYPTO:DOTUSD,5.649,5.733,5.391,5.723,0.0
2024-06-25 02:00:00,CRYPTO:DOTUSD,5.723,5.968,5.702,5.838,0.0
2024-06-26 02:00:00,CRYPTO:DOTUSD,5.838,5.945,5.769,5.798,0.0
2024-06-27 02:00:00,CRYPTO:DOTUSD,5.798,6.372,5.705,6.283,0.0
2024-06-28 02:00:00,CRYPTO:DOTUSD,6.283,6.43,6.151,6.181,0.0
2024-06-29 02:00:00,CRYPTO:DOTUSD,6.181,6.291,6.055,6.069,0.0
2024-06-30 02:00:00,CRYPTO:DOTUSD,6.069,6.248,6.014,6.203,0.0
