datetime,symbol,open,high,low,close,volume
2024-02-01 01:00:00,CRYPTO:SOLUSD,96.97,97.99,93.07,97.74,0.0
2024-02-02 01:00:00,CRYPTO:SOLUSD,97.74,102.5,97.37,100.54,0.0
2024-02-03 01:00:00,CRYPTO:SOLUSD,100.55,101.17,96.63,97.91,0.0
2024-02-04 01:00:00,CRYPTO:SOLUSD,97.91,98.53,95.08,95.45,0.0
2024-02-05 01:00:00,CRYPTO:SOLUSD,95.45,98.63,94.16,95.61,0.0
2024-02-06 01:00:00,CRYPTO:SOLUSD,95.61,97.75,93.1,96.75,0.0
2024-02-07 01:00:00,CRYPTO:SOLUSD,96.75,101.51,94.64,101.1,0.0
2024-02-08 01:00:00,CRYPTO:SOLUSD,101.1,104.9,100.54,102.74,0.0
2024-02-09 01:00:00,CRYPTO:SOLUSD,102.74,109.08,102.74,106.95,0.0
2024-02-10 01:00:00,CRYPTO:SOLUSD,106.95,110.89,106.94,109.07,0.0
2024-02-11 01:00:00,CRYPTO:SOLUSD,109.07,110.65,107.31,107.49,0.0
2024-02-12 01:00:00,CRYPTO:SOLUSD,107.49,112.22,103.52,111.7,0.0
2024-02-13 01:00:00,CRYPTO:SOLUSD,111.7,115.08,108.36,112.52,0.0
2024-02-14 01:00:00,CRYPTO:SOLUSD,112.52,118.71,110.73,117.05,0.0
2024-02-15 01:00:00,CRYPTO:SOLUSD,117.05,118.44,111.64,113.61,0.0
2024-02-16 01:00:00,CRYPTO:SOLUSD,113.61,114.34,108.12,110.44,0.0
2024-02-17 01:00:00,CRYPTO:SOLUSD,110.44,111.12,105.78,108.99,0.0
2024-02-18 01:00:00,CRYPTO:SOLUSD,108.99,114.05,107.56,112.26,0.0
2024-02-19 01:00:00,CRYPTO:SOLUSD,112.26,114.83,110.9,111.55,0.0
2024-02-20 01:00:00,CRYPTO:SOLUSD,111.55,112.11,103.67,108.34,0.0
2024-02-21 01:00:00,CRYPTO:SOLUSD,108.34,108.41,100.28,105.06,0.0
2024-02-22 01:00:00,CRYPTO:SOLUSD,105.06,107.08,101.54,101.76,0.0
2024-02-23 01:00:00,CRYPTO:SOLUSD,101.75,103.01,98.67,99.83,0.0
2024-02-24 01:00:00,CRYPTO:SOLUSD,99.83,104.75,98.48,104.01,0.0
2024-02-25 01:00:00,CRYPTO:SOLUSD,104.01,104.42,102.06,103.48,0.0
2024-02-26 01:00:00,CRYPTO:SOLUSD,103.48,110.77,100.31,109.91,0.0
2024-02-27 01:00:00,CRYPTO:SOLUSD,109.9,112.37,105.42,108.44,0.0
2024-02-28 01:00:00,CRYPTO:SOLUSD,108.44,119.05,107.33,119.04,0.0
2024-02-29 01:00:00,CRYPTO:SOLUSD,119.04,134.74,117.45,125.76,0.0
