datetime,symbol,open,high,low,close,volume
2024-05-01 02:00:00,CRYPTO:ADAUSD,0.44,0.46,0.42,0.45,0.0
2024-05-02 02:00:00,CRYPTO:ADAUSD,0.45,0.46,0.44,0.46,0.0
2024-05-03 02:00:00,CRYPTO:ADAUSD,0.46,0.47,0.45,0.47,0.0
2024-05-04 02:00:00,CRYPTO:ADAUSD,0.47,0.48,0.46,0.46,0.0
2024-05-05 02:00:00,CRYPTO:ADAUSD,0.46,0.47,0.45,0.46,0.0
2024-05-06 02:00:00,CRYPTO:ADAUSD,0.46,0.48,0.45,0.45,0.0
2024-05-07 02:00:00,CRYPTO:ADAUSD,0.45,0.46,0.44,0.44,0.0
2024-05-08 02:00:00,CRYPTO:ADAUSD,0.44,0.47,0.44,0.45,0.0
2024-05-09 02:00:00,CRYPTO:ADAUSD,0.45,0.46,0.45,0.46,0.0
2024-05-10 02:00:00,CRYPTO:ADAUSD,0.46,0.47,0.44,0.45,0.0
2024-05-11 02:00:00,CRYPTO:ADAUSD,0.45,0.45,0.44,0.44,0.0
2024-05-12 02:00:00,CRYPTO:ADAUSD,0.44,0.44,0.43,0.44,0.0
2024-05-13 02:00:00,CRYPTO:ADAUSD,0.44,0.45,0.43,0.44,0.0
2024-05-14 02:00:00,CRYPTO:ADAUSD,0.44,0.44,0.43,0.43,0.0
2024-05-15 02:00:00,CRYPTO:ADAUSD,0.43,0.45,0.43,0.45,0.0
2024-05-16 02:00:00,CRYPTO:ADAUSD,0.45,0.46,0.45,0.46,0.0
2024-05-17 02:00:00,CRYPTO:ADAUSD,0.46,0.49,0.46,0.48,0.0
2024-05-18 02:00:00,CRYPTO:ADAUSD,0.48,0.49,0.48,0.48,0.0
2024-05-19 02:00:00,CRYPTO:ADAUSD,0.48,0.48,0.46,0.47,0.0
2024-05-20 02:00:00,CRYPTO:ADAUSD,0.47,0.5,0.46,0.5,0.0
2024-05-21 02:00:00,CRYPTO:ADAUSD,0.5,0.51,0.49,0.49,0.0
2024-05-22 02:00:00,CRYPTO:ADAUSD,0.49,0.5,0.47,0.48,0.0
2024-05-23 02:00:00,CRYPTO:ADAUSD,0.48,0.49,0.44,0.47,0.0
2024-05-24 02:00:00,CRYPTO:ADAUSD,0.47,0.47,0.45,0.46,0.0
2024-05-25 02:00:00,CRYPTO:ADAUSD,0.46,0.46,0.46,0.46,0.0
2024-05-26 02:00:00,CRYPTO:ADAUSD,0.46,0.46,0.46,0.46,0.0
2024-05-27 02:00:00,CRYPTO:ADAUSD,0.46,0.47,0.46,0.47,0.0
2024-05-28 02:00:00,CRYPTO:ADAUSD,0.47,0.47,0.45,0.46,0.0
2024-05-29 02:00:00,CRYPTO:ADAUSD,0.46,0.46,0.45,0.45,0.0
2024-05-30 02:00:00,CRYPTO:ADAUSD,0.45,0.45,0.44,0.45,0.0
2024-05-31 02:00:00,CRYPTO:ADAUSD,0.45,0.46,0.44,0.45,0.0
