datetime,symbol,open,high,low,close,volume
2023-01-01 01:00:00,CRYPTO:BTCUSD,16529.49,16619.63,16496.85,16613.48,0.0
2023-01-02 01:00:00,CRYPTO:BTCUSD,16613.59,16779.52,16550.33,16668.97,0.0
2023-01-03 01:00:00,CRYPTO:BTCUSD,16668.69,16766.33,16602.74,16670.73,0.0
2023-01-04 01:00:00,CRYPTO:BTCUSD,16670.29,16983.08,16650.66,16849.16,0.0
2023-01-05 01:00:00,CRYPTO:BTCUSD,16849.25,16871.78,16752.22,16825.79,0.0
2023-01-06 01:00:00,CRYPTO:BTCUSD,16825.98,17027.49,16679.81,16950.52,0.0
2023-01-07 01:00:00,CRYPTO:BTCUSD,16950.5,16977.59,16909.24,16944.81,0.0
2023-01-08 01:00:00,CRYPTO:BTCUSD,16944.76,17158.47,16915.83,17124.86,0.0
2023-01-09 01:00:00,CRYPTO:BTCUSD,17124.86,17394.45,17108.31,17179.7,0.0
2023-01-10 01:00:00,CRYPTO:BTCUSD,17179.69,17489.69,17150.45,17443.89,0.0
2023-01-11 01:00:00,CRYPTO:BTCUSD,17443.89,17989.86,17316.06,17941.69,0.0
2023-01-12 01:00:00,CRYPTO:BTCUSD,17940.97,19104.01,17912.4,18852.7,0.0
2023-01-13 01:00:00,CRYPTO:BTCUSD,18852.95,19994.4,18720.89,19932.48,0.0
2023-01-14 01:00:00,CRYPTO:BTCUSD,19932.28,21322.68,19900.39,20959.43,0.0
2023-01-15 01:00:00,CRYPTO:BTCUSD,20959.7,21056.74,20564.83,20884.18,0.0
2023-01-16 01:00:00,CRYPTO:BTCUSD,20884.77,21451.74,20630.28,21189.86,0.0
2023-01-17 01:00:00,CRYPTO:BTCUSD,21190.85,21583.05,20860.99,21140.12,0.0
2023-01-18 01:00:00,CRYPTO:BTCUSD,21139.76,21640.13,20404.71,20676.07,0.0
2023-01-19 01:00:00,CRYPTO:BTCUSD,20674.13,21192.16,20662.18,21085.41,0.0
2023-01-20 01:00:00,CRYPTO:BTCUSD,21085.37,22748.05,20872.99,22679.14,0.0
2023-01-21 01:00:00,CRYPTO:BTCUSD,22679.46,23354.14,22446.83,22785.95,0.0
2023-01-22 01:00:00,CRYPTO:BTCUSD,22785.94,23082.16,22311.85,22717.7,0.0
2023-01-23 01:00:00,CRYPTO:BTCUSD,22716.76,23170.81,22520.31,22921.29,0.0
2023-01-24 01:00:00,CRYPTO:BTCUSD,22921.38,23160.74,22467.03,22638.0,0.0
2023-01-25 01:00:00,CRYPTO:BTCUSD,22638.56,23818.19,22334.22,23056.8,0.0
2023-01-26 01:00:00,CRYPTO:BTCUSD,23056.8,23282.76,22865.5,23011.11,0.0
2023-01-27 01:00:00,CRYPTO:BTCUSD,23011.34,23501.54,22544.82,23080.06,0.0
2023-01-28 01:00:00,CRYPTO:BTCUSD,23080.66,23187.87,22891.64,23031.1,0.0
2023-01-29 01:00:00,CRYPTO:BTCUSD,23031.26,23955.61,22982.56,23750.97,0.0
2023-01-30 01:00:00,CRYPTO:BTCUSD,23750.61,23800.25,22508.73,22832.84,0.0
2023-01-31 01:00:00,CRYPTO:BTCUSD,22832.84,23306.97,22726.98,23132.21,0.0
