datetime,symbol,open,high,low,close,volume
2022-10-01 02:00:00,CRYPTO:ETHUSD,1328.57,1333.82,1303.19,1311.74,0.0
2022-10-02 02:00:00,CRYPTO:ETHUSD,1311.7,1317.41,1269.1,1276.31,0.0
2022-10-03 02:00:00,CRYPTO:ETHUSD,1276.93,1329.85,1263.38,1323.57,0.0
2022-10-04 02:00:00,CRYPTO:ETHUSD,1323.6,1369.99,1319.33,1362.08,0.0
2022-10-05 02:00:00,CRYPTO:ETHUSD,1361.93,1364.5,1316.62,1352.6,0.0
2022-10-06 02:00:00,CRYPTO:ETHUSD,1352.6,1384.31,1346.63,1352.49,0.0
2022-10-07 02:00:00,CRYPTO:ETHUSD,1352.22,1361.71,1317.84,1331.56,0.0
2022-10-08 02:00:00,CRYPTO:ETHUSD,1331.45,1337.38,1304.54,1315.47,0.0
2022-10-09 02:00:00,CRYPTO:ETHUSD,1315.48,1328.96,1307.8,1323.31,0.0
2022-10-10 02:00:00,CRYPTO:ETHUSD,1323.09,1338.02,1286.27,1290.35,0.0
2022-10-11 02:00:00,CRYPTO:ETHUSD,1289.75,1297.63,1267.5,1279.83,0.0
2022-10-12 02:00:00,CRYPTO:ETHUSD,1279.83,1306.26,1275.37,1294.4,0.0
2022-10-13 02:00:00,CRYPTO:ETHUSD,1294.11,1300.72,1183.98,1287.32,0.0
2022-10-14 02:00:00,CRYPTO:ETHUSD,1286.98,1343.36,1284.57,1296.78,0.0
2022-10-15 02:00:00,CRYPTO:ETHUSD,1296.67,1301.61,1263.51,1274.77,0.0
2022-10-16 02:00:00,CRYPTO:ETHUSD,1275.13,1314.78,1274.9,1306.06,0.0
2022-10-17 02:00:00,CRYPTO:ETHUSD,1305.97,1338.54,1295.76,1331.53,0.0
2022-10-18 02:00:00,CRYPTO:ETHUSD,1331.58,1341.68,1287.12,1310.34,0.0
2022-10-19 02:00:00,CRYPTO:ETHUSD,1310.57,1313.51,1280.38,1284.94,0.0
2022-10-20 02:00:00,CRYPTO:ETHUSD,1284.89,1310.32,1271.01,1282.79,0.0
2022-10-21 02:00:00,CRYPTO:ETHUSD,1282.51,1306.78,1253.17,1299.76,0.0
2022-10-22 02:00:00,CRYPTO:ETHUSD,1299.88,1320.14,1294.73,1313.89,0.0
2022-10-23 02:00:00,CRYPTO:ETHUSD,1313.89,1370.21,1299.65,1363.83,0.0
2022-10-24 02:00:00,CRYPTO:ETHUSD,1363.8,1370.04,1324.5,1344.4,0.0
2022-10-25 02:00:00,CRYPTO:ETHUSD,1344.17,1524.93,1335.49,1460.15,0.0
2022-10-26 02:00:00,CRYPTO:ETHUSD,1460.1,1594.52,1458.65,1566.46,0.0
2022-10-27 02:00:00,CRYPTO:ETHUSD,1566.46,1577.23,1503.88,1513.95,0.0
2022-10-28 02:00:00,CRYPTO:ETHUSD,1513.98,1574.35,1482.52,1554.86,0.0
2022-10-29 02:00:00,CRYPTO:ETHUSD,1554.86,1663.42,1548.28,1620.24,0.0
2022-10-30 02:00:00,CRYPTO:ETHUSD,1620.18,1639.71,1577.06,1590.53,0.0
2022-10-31 01:00:00,CRYPTO:ETHUSD,1590.58,1635.03,1546.95,1573.2,0.0
