datetime,symbol,open,high,low,close
2025-01-01 01:00:00,CRYPTO:SHIBUSD,2.114e-05,2.169e-05,2.0676e-05,2.1657e-05
2025-01-02 01:00:00,CRYPTO:SHIBUSD,2.1653e-05,2.2994e-05,2.1564e-05,2.2857e-05
2025-01-03 01:00:00,CRYPTO:SHIBUSD,2.2856e-05,2.4605e-05,2.2479e-05,2.4398e-05
2025-01-04 01:00:00,CRYPTO:SHIBUSD,2.4398e-05,2.49e-05,2.3886e-05,2.4313e-05
2025-01-05 01:00:00,CRYPTO:SHIBUSD,2.4313e-05,2.4396e-05,2.3459e-05,2.3921e-05
2025-01-06 01:00:00,CRYPTO:SHIBUSD,2.3921e-05,2.4608e-05,2.3424e-05,2.4052e-05
2025-01-07 01:00:00,CRYPTO:SHIBUSD,2.4052e-05,2.4275e-05,2.1689e-05,2.1795e-05
2025-01-08 01:00:00,CRYPTO:SHIBUSD,2.1794e-05,2.1968e-05,2.0338e-05,2.1299e-05
2025-01-09 01:00:00,CRYPTO:SHIBUSD,2.1298e-05,2.2012e-05,2.0497e-05,2.1043e-05
2025-01-10 01:00:00,CRYPTO:SHIBUSD,2.1043e-05,2.1894e-05,2.1037e-05,2.1564e-05
2025-01-11 01:00:00,CRYPTO:SHIBUSD,2.1564e-05,2.2725e-05,2.1346e-05,2.2198e-05
2025-01-12 01:00:00,CRYPTO:SHIBUSD,2.2198e-05,2.2201e-05,2.1294e-05,2.1549e-05
2025-01-13 01:00:00,CRYPTO:SHIBUSD,2.1549e-05,2.2141e-05,1.9642e-05,2.119e-05
2025-01-14 01:00:00,CRYPTO:SHIBUSD,2.119e-05,2.1943e-05,2.1095e-05,2.1617e-05
2025-01-15 01:00:00,CRYPTO:SHIBUSD,2.1618e-05,2.2838e-05,2.0925e-05,2.2729e-05
2025-01-16 01:00:00,CRYPTO:SHIBUSD,2.2729e-05,2.2816e-05,2.1718e-05,2.2014e-05
2025-01-17 01:00:00,CRYPTO:SHIBUSD,2.2014e-05,2.461e-05,2.2011e-05,2.42e-05
2025-01-18 01:00:00,CRYPTO:SHIBUSD,2.4199e-05,2.4959e-05,2.2372e-05,2.2779e-05
2025-01-19 01:00:00,CRYPTO:SHIBUSD,2.2778e-05,2.323e-05,1.9784e-05,2.0312e-05
2025-01-20 01:00:00,CRYPTO:SHIBUSD,2.0313e-05,2.2023e-05,1.9635e-05,2.0306e-05
2025-01-21 01:00:00,CRYPTO:SHIBUSD,2.0306e-05,2.1304e-05,1.9633e-05,2.0882e-05
2025-01-22 01:00:00,CRYPTO:SHIBUSD,2.0882e-05,2.0994e-05,2.0072e-05,2.0175e-05
2025-01-23 01:00:00,CRYPTO:SHIBUSD,2.0174e-05,2.0495e-05,1.9548e-05,2.0139e-05
2025-01-24 01:00:00,CRYPTO:SHIBUSD,2.0139e-05,2.0555e-05,1.9503e-05,1.9966e-05
2025-01-25 01:00:00,CRYPTO:SHIBUSD,1.9966e-05,2.0222e-05,1.9691e-05,1.9935e-05
2025-01-26 01:00:00,CRYPTO:SHIBUSD,1.9935e-05,2.015e-05,1.9035e-05,1.9093e-05
2025-01-27 01:00:00,CRYPTO:SHIBUSD,1.9093e-05,1.9159e-05,1.7283e-05,1.8967e-05
2025-01-28 01:00:00,CRYPTO:SHIBUSD,1.8967e-05,1.9322e-05,1.7719e-05,1.7961e-05
2025-01-29 01:00:00,CRYPTO:SHIBUSD,1.7962e-05,1.8805e-05,1.7809e-05,1.8289e-05
2025-01-30 01:00:00,CRYPTO:SHIBUSD,1.829e-05,1.8985e-05,1.8178e-05,1.8687e-05
2025-01-31 01:00:00,CRYPTO:SHIBUSD,1.8687e-05,1.9679e-05,1.8493e-05,1.8901e-05
