datetime,symbol,open,high,low,close,volume
2021-02-01 01:00:00,CRYPTO:AAVEUSD,300.34332098,307.89995144,283.42677843,295.77750868,0.0
2021-02-02 01:00:00,CRYPTO:AAVEUSD,295.42741096,307.95800899,285.1715691,303.18600595,0.0
2021-02-03 01:00:00,CRYPTO:AAVEUSD,303.30623952,389.46595772,300.36061681,385.2556547,0.0
2021-02-04 01:00:00,CRYPTO:AAVEUSD,385.32416765,522.16565961,385.1236848,467.67096152,0.0
2021-02-05 01:00:00,CRYPTO:AAVEUSD,467.25819329,544.29821193,464.79601868,505.80617083,0.0
2021-02-06 01:00:00,CRYPTO:AAVEUSD,505.41750546,510.82598099,427.81360787,474.77165967,0.0
2021-02-07 01:00:00,CRYPTO:AAVEUSD,474.98718991,484.26213245,392.94878513,473.38031403,0.0
2021-02-08 01:00:00,CRYPTO:AAVEUSD,473.60000992,532.22394671,463.84016516,490.12822222,0.0
2021-02-09 01:00:00,CRYPTO:AAVEUSD,489.41654045,513.24173148,471.44153456,489.02565274,0.0
2021-02-10 01:00:00,CRYPTO:AAVEUSD,489.78491737,583.5762765,487.24532541,523.05489848,0.0
2021-02-11 01:00:00,CRYPTO:AAVEUSD,523.79079404,542.4681738,507.18135696,518.50312766,0.0
2021-02-12 01:00:00,CRYPTO:AAVEUSD,517.38468695,545.45213071,498.82614732,529.51289018,0.0
2021-02-13 01:00:00,CRYPTO:AAVEUSD,530.15267242,545.64658687,485.36109164,495.73424064,0.0
2021-02-14 01:00:00,CRYPTO:AAVEUSD,495.34759946,510.44604345,460.40769134,468.55147305,0.0
2021-02-15 01:00:00,CRYPTO:AAVEUSD,469.10957445,497.67265584,385.77754246,455.39012375,0.0
2021-02-16 01:00:00,CRYPTO:AAVEUSD,456.33673488,478.89083772,421.64951342,432.823842,0.0
2021-02-17 01:00:00,CRYPTO:AAVEUSD,432.42193719,469.44723091,399.43568475,451.45393103,0.0
2021-02-18 01:00:00,CRYPTO:AAVEUSD,452.21684209,479.52935368,434.51585488,441.93574427,0.0
2021-02-19 01:00:00,CRYPTO:AAVEUSD,442.01509118,448.47558139,405.02222338,419.66986443,0.0
2021-02-20 01:00:00,CRYPTO:AAVEUSD,420.22433116,498.93386516,406.33041748,441.40071293,0.0
2021-02-21 01:00:00,CRYPTO:AAVEUSD,441.23855454,455.13439444,423.92360588,437.85937664,0.0
2021-02-22 01:00:00,CRYPTO:AAVEUSD,437.5536881,449.69401491,342.47763231,400.11509284,0.0
2021-02-23 01:00:00,CRYPTO:AAVEUSD,400.52210432,403.78834237,277.7880865,363.99389453,0.0
2021-02-24 01:00:00,CRYPTO:AAVEUSD,364.0075692,406.60570215,341.86209939,368.28553594,0.0
2021-02-25 01:00:00,CRYPTO:AAVEUSD,368.1010714,389.22983216,334.65029916,338.56320222,0.0
2021-02-26 01:00:00,CRYPTO:AAVEUSD,338.57927928,354.08075588,303.4139535,323.65710107,0.0
2021-02-27 01:00:00,CRYPTO:AAVEUSD,323.232524,350.92249034,323.08029024,333.23800747,0.0
2021-02-28 01:00:00,CRYPTO:AAVEUSD,332.88267172,369.03011696,300.47029236,354.98760808,0.0
