datetime,symbol,open,high,low,close,volume
2024-09-01 02:00:00,CRYPTO:SOLUSD,135.33,136.04,127.81,128.51,0.0
2024-09-02 02:00:00,CRYPTO:SOLUSD,128.52,135.37,127.02,134.94,0.0
2024-09-03 02:00:00,CRYPTO:SOLUSD,134.94,137.28,127.18,127.55,0.0
2024-09-04 02:00:00,CRYPTO:SOLUSD,127.55,134.88,122.72,133.61,0.0
2024-09-05 02:00:00,CRYPTO:SOLUSD,133.61,135.38,127.96,129.41,0.0
2024-09-06 02:00:00,CRYPTO:SOLUSD,129.41,134.2,120.62,124.98,0.0
2024-09-07 02:00:00,CRYPTO:SOLUSD,124.98,129.39,124.14,127.68,0.0
2024-09-08 02:00:00,CRYPTO:SOLUSD,127.68,131.62,126.63,130.11,0.0
2024-09-09 02:00:00,CRYPTO:SOLUSD,130.11,137.03,127.02,135.06,0.0
2024-09-10 02:00:00,CRYPTO:SOLUSD,135.06,137.95,132.59,135.64,0.0
2024-09-11 02:00:00,CRYPTO:SOLUSD,135.63,135.89,128.23,132.41,0.0
2024-09-12 02:00:00,CRYPTO:SOLUSD,132.41,136.71,132.39,136.06,0.0
2024-09-13 02:00:00,CRYPTO:SOLUSD,136.06,139.79,131.72,139.02,0.0
2024-09-14 02:00:00,CRYPTO:SOLUSD,139.02,139.84,135.73,137.23,0.0
2024-09-15 02:00:00,CRYPTO:SOLUSD,137.23,137.94,130.5,131.42,0.0
2024-09-16 02:00:00,CRYPTO:SOLUSD,131.42,132.37,128.97,131.46,0.0
2024-09-17 02:00:00,CRYPTO:SOLUSD,131.46,135.49,130.32,131.52,0.0
2024-09-18 02:00:00,CRYPTO:SOLUSD,131.52,134.41,127.17,134.33,0.0
2024-09-19 02:00:00,CRYPTO:SOLUSD,134.33,143.98,134.31,142.88,0.0
2024-09-20 02:00:00,CRYPTO:SOLUSD,142.88,152.32,141.21,146.68,0.0
2024-09-21 02:00:00,CRYPTO:SOLUSD,146.68,149.84,144.67,149.44,0.0
2024-09-22 02:00:00,CRYPTO:SOLUSD,149.44,149.9,141.22,144.65,0.0
2024-09-23 02:00:00,CRYPTO:SOLUSD,144.65,149.02,142.18,144.78,0.0
2024-09-24 02:00:00,CRYPTO:SOLUSD,144.78,153.91,143.12,152.71,0.0
2024-09-25 02:00:00,CRYPTO:SOLUSD,152.71,153.86,147.35,147.99,0.0
2024-09-26 02:00:00,CRYPTO:SOLUSD,147.99,157.95,146.57,155.5,0.0
2024-09-27 02:00:00,CRYPTO:SOLUSD,155.5,161.13,154.03,157.66,0.0
2024-09-28 02:00:00,CRYPTO:SOLUSD,157.65,159.43,155.1,156.76,0.0
2024-09-29 02:00:00,CRYPTO:SOLUSD,156.76,161.76,155.15,158.49,0.0
2024-09-30 02:00:00,CRYPTO:SOLUSD,158.49,159.76,151.78,152.57,0.0
