datetime,symbol,open,high,low,close,volume
2023-05-01 02:00:00,CRYPTO:SOLUSD,22.73,22.89,21.56,21.98,0.0
2023-05-02 02:00:00,CRYPTO:SOLUSD,21.98,22.4,21.77,22.28,0.0
2023-05-03 02:00:00,CRYPTO:SOLUSD,22.28,22.31,21.26,22.25,0.0
2023-05-04 02:00:00,CRYPTO:SOLUSD,22.25,22.53,21.64,21.76,0.0
2023-05-05 02:00:00,CRYPTO:SOLUSD,21.76,23.09,21.66,22.86,0.0
2023-05-06 02:00:00,CRYPTO:SOLUSD,22.86,23.26,21.64,22.02,0.0
2023-05-07 02:00:00,CRYPTO:SOLUSD,22.02,22.86,21.78,21.78,0.0
2023-05-08 02:00:00,CRYPTO:SOLUSD,21.8,21.96,20.15,20.76,0.0
2023-05-09 02:00:00,CRYPTO:SOLUSD,20.76,21.16,20.47,20.72,0.0
2023-05-10 02:00:00,CRYPTO:SOLUSD,20.72,21.33,19.95,20.97,0.0
2023-05-11 02:00:00,CRYPTO:SOLUSD,20.97,20.97,19.77,20.2,0.0
2023-05-12 02:00:00,CRYPTO:SOLUSD,20.2,20.97,19.84,20.92,0.0
2023-05-13 02:00:00,CRYPTO:SOLUSD,20.91,21.29,20.8,20.86,0.0
2023-05-14 02:00:00,CRYPTO:SOLUSD,20.86,21.27,20.64,20.95,0.0
2023-05-15 02:00:00,CRYPTO:SOLUSD,20.95,21.52,20.62,21.0,0.0
2023-05-16 02:00:00,CRYPTO:SOLUSD,21.0,21.13,20.45,20.68,0.0
2023-05-17 02:00:00,CRYPTO:SOLUSD,20.68,21.19,20.44,21.04,0.0
2023-05-18 02:00:00,CRYPTO:SOLUSD,21.05,21.09,20.11,20.35,0.0
2023-05-19 02:00:00,CRYPTO:SOLUSD,20.35,20.59,20.23,20.35,0.0
2023-05-20 02:00:00,CRYPTO:SOLUSD,20.35,20.36,20.11,20.29,0.0
2023-05-21 02:00:00,CRYPTO:SOLUSD,20.28,20.39,19.41,19.63,0.0
2023-05-22 02:00:00,CRYPTO:SOLUSD,19.62,20.02,19.31,19.54,0.0
2023-05-23 02:00:00,CRYPTO:SOLUSD,19.54,20.18,19.43,20.04,0.0
2023-05-24 02:00:00,CRYPTO:SOLUSD,20.04,20.07,18.75,19.22,0.0
2023-05-25 02:00:00,CRYPTO:SOLUSD,19.22,19.57,18.79,19.26,0.0
2023-05-26 02:00:00,CRYPTO:SOLUSD,19.26,19.56,19.1,19.37,0.0
2023-05-27 02:00:00,CRYPTO:SOLUSD,19.37,20.53,19.34,20.44,0.0
2023-05-28 02:00:00,CRYPTO:SOLUSD,20.44,21.19,20.31,20.81,0.0
2023-05-29 02:00:00,CRYPTO:SOLUSD,20.81,20.99,20.28,20.59,0.0
2023-05-30 02:00:00,CRYPTO:SOLUSD,20.59,21.41,20.48,21.27,0.0
2023-05-31 02:00:00,CRYPTO:SOLUSD,21.27,21.33,20.4,20.83,0.0
